country code,Ranking,Economy,US dollars),
FRO,171,Faroe Islands,3126,
CUW,172,Curaçao,3102,
GRL,173,Greenland,3052,
LBR,174,Liberia,2950,
BTN,175,Bhutan,2409,
CAF,176,Central African Republic,2303,
GMB,177,"Gambia, The",1902,
LSO,178,Lesotho,1845,
TLS,179,Timor-Leste,1821,
BLZ,180,Belize,1764,
CPV,181,Cabo Verde,1704,
LCA,182,St. Lucia,1703,
SMR,183,San Marino,1616,
SLB,184,Solomon Islands,1551,
GNB,185,Guinea-Bissau,1432,
ATG,186,Antigua and Barbuda,1415,
COM,187,Comoros,1220,
SXM,188,Sint Maarten (Dutch part),1185,
MNP,189,Northern Mariana Islands,1182,
SYC,190,Seychelles,1125,
GRD,191,Grenada,1089,
KNA,192,St. Kitts and Nevis,927,
TCA,193,Turks and Caicos Islands,925,
VUT,194,Vanuatu,855,
VCT,195,St. Vincent and the Grenadines,810,
WSM,196,Samoa,807,
ASM,197,American Samoa,638,
TON,198,Tonga,512,
STP,199,São Tomé and Principe,473,
DMA,200,Dominica,470,
FSM,201,"Micronesia, Fed. Sts.",408,
PLW,202,Palau,268,
MHL,203,Marshall Islands,239,
KIR,204,Kiribati,200,
NRU,205,Nauru,118,
TUV,206,Tuvalu,49,
KIR,204,Kiribati,200,
NRU,205,Nauru,118,
TUV,206,Tuvalu,49,
VGB,,British Virgin Islands, -   ,
CHI,,Channel Islands, -   ,
ERI,,Eritrea, -   ,
PYF,,French Polynesia, -   ,
GIB,,Gibraltar, -   ,
PRK,,"Korea, Dem. People's Rep.", -   ,
NCL,,New Caledonia, -   ,
SSD,,South Sudan, -   ,
MAF,,St. Martin (French part), -   ,
SYR,,Syrian Arab Republic, -   ,
VEN,,"Venezuela, RB", -   ,
,,,,
,,,,
,,,,
WLD,,World,"84,705,567",
,,,#N/A,
,,,,
EAS,,East Asia & Pacific, -   ,
ECS,,Europe & Central Asia,"21,960,945",
LCN,,Latin America & Caribbean,"4,838,098",
MEA,,Middle East & North Africa,"3,098,531",
NAC,,North America,"22,587,300",
SAS,,South Asia,"3,351,520",
SSF,,Sub-Saharan Africa,"1,685,632",
LIC,,Low income,"546,661",
LMC,,Lower middle income,"7,328,774",
UMC,,Upper middle income,"23,630,843",
HIC,,High income,"53,255,167",
,,,,
,".. Not available.  
Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for  2019 or 2018, ranking is approximate.
a. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  b . Based on data officially reported by the National Statistics and  Censuses Institute of Argentina. The International Monetary Fund (IMF) has called on Argentina to adopt measures to address the quality of official GDP and consumer price index data, and issued an updated statement on Argentina’s progress on August 31, 2016: http://www.imf.org/en/News/Articles/2016/08/31/PR16389-Statement-by-the-IMF-Executive-Board-on-Argentina. The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. For Argentina, an alternative conversion factor has been calculated using a weighted average method for the period from 2012 to 2015.  c. Includes Former Spanish Sahara.  d. Covers mainland Tanzania only.  e. Data are for the area controlled by the government of Cyprus.  f. Excludes Abkhazia and South Ossetia.  g. Excludes Transnistria.",,,
,,,,
,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,
